TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr4 D3|4 74.02 cM	mouse chr4 D3|4 74.02 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 E2|11 85.1 cM	mouse chr11 E2|11 85.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 87.28 cM	mouse chr4 E2|4 87.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12|12 D3	mouse chr12|12 D3	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B2|11 38.08 cM	mouse chr11 B2|11 38.08 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 A2|10 5.14 cM	mouse chr10 A2|10 5.14 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 86.85 cM	mouse chr4 E2|4 86.85 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 82.92 cM	mouse chr4 E2|4 82.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B3|16 24.26 cM	mouse chr16 B3|16 24.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A3|7 9.67 cM	mouse chr7 A3|7 9.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 C1|10 38.51 cM	mouse chr10 C1|10 38.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 F2.3|3 46.68 cM	mouse chr3 F2.3|3 46.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 F|5 53.27 cM	mouse chr5 F|5 53.27 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 C1|19 23.57 cM	mouse chr19 C1|19 23.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B5|11	mouse chr11 B5|11	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 E3.3|9 48.39 cM	mouse chr9 E3.3|9 48.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A2|7 8.59 cM	mouse chr7 A2|7 8.59 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 H2|3 71.3 cM	mouse chr3 H2|3 71.3 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 C1|12 23.25 cM	mouse chr12 C1|12 23.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 B1|6 18.67 cM	mouse chr6 B1|6 18.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 D|9 40.1 cM	mouse chr9 D|9 40.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 78.75 cM	mouse chr5 G2|5 78.75 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 C2|1 32.29 cM	mouse chr1 C2|1 32.29 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 F1|2 61.86 cM	mouse chr2 F1|2 61.86 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E2- E3|2 55.06 cM	mouse chr2 E2- E3|2 55.06 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 A3|3 11.92 cM	mouse chr3 A3|3 11.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 B1|5 12.92 cM	mouse chr5 B1|5 12.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F3|6 63.01 cM	mouse chr6 F3|6 63.01 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 D2|10 72.1 cM	mouse chr10 D2|10 72.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A3|9 7.64 cM	mouse chr9 A3|9 7.64 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 E3|17 49.67 cM	mouse chr17 E3|17 49.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A5.2|9 25.37 cM	mouse chr9 A5.2|9 25.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 E1|18 39.92 cM	mouse chr18 E1|18 39.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 C1|19 28.14 cM	mouse chr19 C1|19 28.14 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B3|7 30.76 cM	mouse chr7 B3|7 30.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX F5|X 78.32 cM	mouse chrX F5|X 78.32 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 B3|10 26.54 cM	mouse chr10 B3|10 26.54 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 A|19 3.8 cM	mouse chr19 A|19 3.8 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F1|6 57.02 cM	mouse chr6 F1|6 57.02 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 D|11 63.82 cM	mouse chr11 D|11 63.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B1|7 16.86 cM	mouse chr7 B1|7 16.86 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 C5|8 46.08 cM	mouse chr8 C5|8 46.08 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A1|11 2.33 cM	mouse chr11 A1|11 2.33 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B1.2|11 29.9 cM	mouse chr11 B1.2|11 29.9 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 C3|19 38.96 cM	mouse chr19 C3|19 38.96 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 D3|7 50.46 cM	mouse chr7 D3|7 50.46 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A3.3|X 22.46 cM	mouse chrX A3.3|X 22.46 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 74.67 cM	mouse chr5 G2|5 74.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 H1|2 75.95 cM	mouse chr2 H1|2 75.95 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 C1|10 43.93 cM	mouse chr10 C1|10 43.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B1.3|11 30.78 cM	mouse chr11 B1.3|11 30.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 C|11 51.3 cM	mouse chr11 C|11 51.3 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 B3|5 23.95 cM	mouse chr5 B3|5 23.95 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G1.1|5 64.27 cM	mouse chr5 G1.1|5 64.27 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 A3.3|17 13.75 cM	mouse chr17 A3.3|17 13.75 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 29.47 cM|17 D	mouse chr17 29.47 cM|17 D	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B1|16 13.76 cM	mouse chr16 B1|16 13.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 86.13 cM	mouse chr4 E2|4 86.13 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C1- C2|14 26.67 cM	mouse chr14 C1- C2|14 26.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A3.1|13 10.52 cM	mouse chr13 A3.1|13 10.52 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 E1|11 69.05 cM	mouse chr11 E1|11 69.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 A3|16 10.82 cM	mouse chr16 A3|16 10.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 B3.2|15 16.73 cM	mouse chr15 B3.2|15 16.73 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 D1|8 47.63 cM	mouse chr8 D1|8 47.63 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 76.07 cM	mouse chr5 G2|5 76.07 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 B|1 15.57 cM	mouse chr1 B|1 15.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F1|6 56.62 cM	mouse chr6 F1|6 56.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 85.47 cM	mouse chr4 E2|4 85.47 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F2|15 57.45 cM	mouse chr15 F2|15 57.45 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 C|9 35.26 cM	mouse chr9 C|9 35.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 C3.3|16 47.45 cM	mouse chr16 C3.3|16 47.45 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 B1|5 16.13 cM	mouse chr5 B1|5 16.13 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D2.2|4 60.91 cM	mouse chr4 D2.2|4 60.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 D|11 61.56 cM	mouse chr11 D|11 61.56 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 A3|2 12.81 cM	mouse chr2 A3|2 12.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 H3|2 84.52 cM	mouse chr2 H3|2 84.52 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 F3|2 67.26 cM	mouse chr2 F3|2 67.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 B3.1|15 16.73 cM	mouse chr15 B3.1|15 16.73 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D2.3|4 65.56 cM	mouse chr4 D2.3|4 65.56 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 78.12 cM	mouse chr5 G2|5 78.12 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A5.3|9 26.39 cM	mouse chr9 A5.3|9 26.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 D2|19 51.59 cM	mouse chr19 D2|19 51.59 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 C1|13 36.69 cM	mouse chr13 C1|13 36.69 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A1.1|X 3.79 cM	mouse chrX A1.1|X 3.79 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A1.1|X 7.61 cM	mouse chrX A1.1|X 7.61 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F5|7 87.34 cM	mouse chr7 F5|7 87.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F5|7 86.25 cM	mouse chr7 F5|7 86.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 E1|5 44.5 cM	mouse chr5 E1|5 44.5 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A3.1|13 10.68 cM	mouse chr13 A3.1|13 10.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 C3.3|16 51.71 cM	mouse chr16 C3.3|16 51.71 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX D|X 46.12 cM	mouse chrX D|X 46.12 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 B|1 17.17 cM	mouse chr1 B|1 17.17 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 C3|1 35.67 cM	mouse chr1 C3|1 35.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 C2|8 40.72 cM	mouse chr8 C2|8 40.72 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 G1|2 70.67 cM	mouse chr2 G1|2 70.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A4|11 18.2 cM	mouse chr11 A4|11 18.2 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 70.26 cM	mouse chr7 F3|7 70.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 7.28 cM	mouse chr7 A1|7 7.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C1|14 26.17 cM	mouse chr14 C1|14 26.17 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B4|11 45.76 cM	mouse chr11 B4|11 45.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 H2.1|1 69.38 cM	mouse chr1 H2.1|1 69.38 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 B3.1|8 30.91 cM	mouse chr8 B3.1|8 30.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E3|15 44.57 cM	mouse chr15 E3|15 44.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A3.3|X 21.46 cM	mouse chrX A3.3|X 21.46 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 C3.3|5 41.71 cM	mouse chr5 C3.3|5 41.71 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 A2|18 11.14 cM	mouse chr18 A2|18 11.14 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 C|17 23.0 cM	mouse chr17 C|17 23.0 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 A1|15 6.11 cM	mouse chr15 A1|15 6.11 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F3|6 59.58 cM	mouse chr6 F3|6 59.58 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 B|2 27.48 cM	mouse chr2 B|2 27.48 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D2.3|4 65.68 cM	mouse chr4 D2.3|4 65.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 C|17 27.83 cM	mouse chr17 C|17 27.83 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 72.37 cM	mouse chr7 F3|7 72.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B5|11 48.39 cM	mouse chr11 B5|11 48.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 B|1 12.78 cM	mouse chr1 B|1 12.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 F1|12 60.74 cM	mouse chr12 F1|12 60.74 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 G3|3 64.24 cM	mouse chr3 G3|3 64.24 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 E|12 55.92 cM	mouse chr12 E|12 55.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 A1|2 9.01 cM	mouse chr2 A1|2 9.01 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 C|17 28.23 cM	mouse chr17 C|17 28.23 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F3|9 65.47 cM	mouse chr9 F3|9 65.47 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 E1|7 53.62 cM	mouse chr7 E1|7 53.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B2|11 37.84 cM	mouse chr11 B2|11 37.84 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 B3|6 26.07 cM	mouse chr6 B3|6 26.07 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A1.1|8 5.28 cM	mouse chr8 A1.1|8 5.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 E1|8 58.3 cM	mouse chr8 E1|8 58.3 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G3|5 86.82 cM	mouse chr5 G3|5 86.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 B|2 21.68 cM	mouse chr2 B|2 21.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E3|15 47.34 cM	mouse chr15 E3|15 47.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A1.1|8 1.98 cM	mouse chr8 A1.1|8 1.98 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 D1|13 50.58 cM	mouse chr13 D1|13 50.58 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 B1|18 18.08 cM	mouse chr18 B1|18 18.08 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A1.1|X 3.64 cM	mouse chrX A1.1|X 3.64 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 18.82 cM|11 A4	mouse chr11 18.82 cM|11 A4	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B5|11 46.59 cM	mouse chr11 B5|11 46.59 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 G3|3 64.19 cM	mouse chr3 G3|3 64.19 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 G3|3 63.65 cM	mouse chr3 G3|3 63.65 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 A4|10 13.57 cM	mouse chr10 A4|10 13.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 E2|8 72.22 cM	mouse chr8 E2|8 72.22 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A5|4 20.94 cM	mouse chr4 A5|4 20.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A5.3|9 25.6 cM	mouse chr9 A5.3|9 25.6 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 D3|8 57.05 cM	mouse chr8 D3|8 57.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A5|13 25.34 cM	mouse chr13 A5|13 25.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 A1|14 6.93 cM	mouse chr14 A1|14 6.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 B|2 19.57 cM	mouse chr2 B|2 19.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F2|6 59.11 cM	mouse chr6 F2|6 59.11 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C1|14 22.68 cM	mouse chr14 C1|14 22.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A1|13 3.62 cM	mouse chr13 A1|13 3.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 C2|8 39.97 cM	mouse chr8 C2|8 39.97 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 A3.1|6 11.29 cM	mouse chr6 A3.1|6 11.29 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 54.34 cM	mouse chr15 F1|15 54.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D3|4 73.47 cM	mouse chr4 D3|4 73.47 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 G3|2 74.89 cM	mouse chr2 G3|2 74.89 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A3.3|11 17.44 cM	mouse chr11 A3.3|11 17.44 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 C3|19 35.68 cM	mouse chr19 C3|19 35.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A5.1- A5.2|9 24.72 cM	mouse chr9 A5.1- A5.2|9 24.72 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 B|3 19.66 cM	mouse chr3 B|3 19.66 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 C3.3|16 51.12 cM	mouse chr16 C3.3|16 51.12 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 E|12 52.15 cM	mouse chr12 E|12 52.15 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 C|11 52.2 cM	mouse chr11 C|11 52.2 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 C2|10 47.25 cM	mouse chr10 C2|10 47.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 A3.3|6 12.28 cM	mouse chr6 A3.3|6 12.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A3|9 7.78 cM	mouse chr9 A3|9 7.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B1.3|11 37.55 cM	mouse chr11 B1.3|11 37.55 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A3.3|13 20.01 cM	mouse chr13 A3.3|13 20.01 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E5|2 59.38 cM	mouse chr2 E5|2 59.38 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E4|2 58.18 cM	mouse chr2 E4|2 58.18 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F1|9 57.53 cM	mouse chr9 F1|9 57.53 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D3|4 73.94 cM	mouse chr4 D3|4 73.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 69.33 cM	mouse chr7 F3|7 69.33 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 E2|11 85.49 cM	mouse chr11 E2|11 85.49 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E5|2 59.84 cM	mouse chr2 E5|2 59.84 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A4|9 20.42 cM	mouse chr9 A4|9 20.42 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E3|2	mouse chr2 E3|2	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 29.39 cM|16 B5	mouse chr16 29.39 cM|16 B5	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 5.82 cM	mouse chr7 A1|7 5.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 E1|18 39.3 cM	mouse chr18 E1|18 39.3 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 A|19 3.05 cM	mouse chr19 A|19 3.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 A|19 6.24 cM	mouse chr19 A|19 6.24 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C1|14 22.49 cM	mouse chr14 C1|14 22.49 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D2|6 44.63 cM	mouse chr6 D2|6 44.63 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 F2|2 64.8 cM	mouse chr2 F2|2 64.8 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 B1|18 18.52 cM	mouse chr18 B1|18 18.52 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A2|8 16.31 cM	mouse chr8 A2|8 16.31 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F4|9 71.5 cM	mouse chr9 F4|9 71.5 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E1|15 39.44 cM	mouse chr15 E1|15 39.44 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 79.82 cM|11 E2	mouse chr11 79.82 cM|11 E2	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 B|3 17.93 cM	mouse chr3 B|3 17.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 D1|10 51.5 cM	mouse chr10 D1|10 51.5 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D1|6 40.42 cM	mouse chr6 D1|6 40.42 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C3|4 39.41 cM	mouse chr4 C3|4 39.41 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G3|5 89.51 cM	mouse chr5 G3|5 89.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 C5|1 43.4 cM	mouse chr1 C5|1 43.4 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 A1.1|12 3.97 cM	mouse chr12 A1.1|12 3.97 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 H3|2 88.24 cM	mouse chr2 H3|2 88.24 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 2.78 cM	mouse chr7 A1|7 2.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 F|5 53.51 cM	mouse chr5 F|5 53.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F4|9 72.61 cM	mouse chr9 F4|9 72.61 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
